Sentence,Judges_classification,,,,,
His outbursts may have been a bit overdone and coarse for a King - perhaps for dramatic effect.,acting,,,,,
"The characters- All I have to say is that the characters were shallow, stereotypical, and absolutely boring and depressing.",acting,,,,,
"Its only Ed helms , Zach and Ken all the way.",acting,,,,,
"It's difficult to comment on the acting, because the actors are in a new movie where they have to act like actors in an old movie.",acting,,,,,
"Why Renner was nominated for Best Actor, I'll never know.",acting,,,,,
Bravo Daniel.,acting,,,,,
Channing Tatum is one of the worst actors along with Vin Diesel and Jason Statham.,acting,,,,,
They echoed the equal genius of Patrick Stewart and Ian McKellen in the previous films and they didn't try to imitate them but instead made their own interpretations of Professor X and Magneto.,acting,,,,,
They did a marvelous job in their portrayals.,acting,,,,,
Both have fantastic chemistry and has created something that people can empathise and connect with.,acting,,,,,
His portrayal of Tom is certainly within reason.,acting,,,,,
"But Colin Firth brings nothing to the role of Haydon to match Ian Richardson's self-tormenting irony; it would have been interesting to see what Ciar_n Hinds, already in the cast but underemployed as Roy Bland, might have done with the role.",acting,,,,,
"I can't help but wish his character well, and that he returns safely home.Sadly it is the cavalcade of other characters that appear and whose roles are undeveloped that weaken the intensity of the film.",acting,,,,,
A+,acting,,,,,
"HOWEVER, my biggest qualm IS Jolie - her size doesn't fit the role and the type of stunts she does.",acting,,,,,
There are a lot of fans of TOS that aren't going to like this movie.,acting,,,,,
Then we've faced the Dicaprio(Cobb) deepest mind tricks.,acting,,,,,
"His acting, which he can be pretty good at, is over-dramatic and bland.",acting,,,,,
"I had thought andrew would be,as they say, amazing.",acting,,,,,
"First, I give credit to them keeping it real at first.",acting,,,,,
Every performer shines in this film from the smallest part to supporting cast.,acting,,,,,
"As with all of these films the effects are first rate, I particularly like the way the character of Steve was made to look really weak and scrawny in the early scenes.",acting,,,,,
"Much to the concern of ""Jem"" who also sports an easily identifiable tattoo noted during the robbery.There is much to like here, the action scenes are believable and well staged in a urban style that ""Heat"" pioneered.",acting,,,,,
"James Franco taps on the glass observation window of the room carrying a clipboard, just doing his morning rounds.",acting,,,,,
The manner he speaks and move is what Keanu would be good at.Patrick Wilson is another perfect fit as Dan Dreiberg AKA Nite Owl II.,acting,,,,,
The only thing I knew was that this was a Woody Allen movie and everybody liked it.,acting,,,,,
"The ONLY saving grace was Jay Chou, who played Kato and The Black Beauty.",acting,,,,,
Robert Downey is solid as Tony Stark but even he can't save this from being a bit of a disappointment compared to the first one.,acting,,,,,
cast is the same and their roles don't change much.,acting,,,,,
It really shows Woody making a paycheck in a movie.,acting,,,,,
"The character Michelle Rodriguez plays has very bad dialog, but she doesn't have a large role.Overall,",acting,,,,,
Jack McGee is extremely likable.,acting,,,,,
The role was written for a male lead but they did a nice job in adapting it for a female.,acting,,,,,
"Man where do I start, maybe the terrible miscasting of Duke and Cobra Comander especially.",acting,,,,,
Chris Hemsworth is proving his movie hunk status.,acting,,,,,
"Few actors can carry a film by themselves, but Franco does an amazing job all alone at the bottom of a crevice.",acting,,,,,
Is Nina portraying the Swan Queen or has it become a reflection of Nina?,acting,,,,,
"The supporting characters like Eric(Dave Franco), Molly(Brie Larson) & Mr.Walters(Rob Riggle) are hilarious as well.",acting,,,,,
"It was that batman/Bruce Wayne voice which he uses for every American accent, like I said his good actor just needs to get a better/new American voice.",acting,,,,,
"Everything is so forced with him, in fact I don't think any of the acting was very good in this.",acting,,,,,
The directing and acting was as good as the original.,acting,,,,,
"The acting was superb, with Vincent Cassel as the ballet director, Barbara Hershey as the mother from hell and Mila Kunis as Portman's rival, as bawdy as Portman is virginal.",acting,,,,,
They were both terrific.,acting,,,,,
"While Neeson and Fiennes do their best to overcome the contrivances of the script, you can tell almost immediately that they really have no place in a film like this.",acting,,,,,
"None of them are believable, charismatic or even nice enough to care for them.",acting,,,,,
"He's returned as Flynn and just like how he was 27 years ago, Bridges plays it cool and chill, the only difference is that his character is much older now and the story has him worrying at times for his son, for the mistakes of the past, he's constantly haunted by it.. but don't worry.. Bridges 'The Dude' attitude is still intact, Flynn would once in a while say something along the line of 'you're messing with my jazz man!' I love Olivia Wilde in this film, not because she's a great actress but because as Flynn's apprentice Quorra, Wilde is just such a doll, her childlike personality is hard to resist.",acting,,,,,
The entire supporting cast is spot on and it shows to be one of the best ensembles of the decade.,acting,,,,,
Spiderman was a lot more entertaining to watch and with each emotion or timely one- liners played brilliantly by one Andrew Garfield.,acting,,,,,
It felt very natural - nobody ever said anything very witty.,acting,,,,,
"On Voldemort's side you have the evil Bellatrix Lestrange (Helena Bonham Carter), the Malfoy's, and several death eaters, while fighting along Harry's side are the Weasley's, Luna (Evanna Lynch), Neville (Matthew Lewis), and the rest of the crew from Hogwarts.",acting,,,,,
From his first scene he sets the tone for his character.,acting,,,,,
"He has portrayed the character of Colter Stevens, an American Army helicopter pilot, quite well if in not the best way possible.",acting,,,,,
"I had no high hopes due to this being an angelina jolie poseur movie, maybe expected just a bit more due to IMDb's 6.5 rating but was tricked (again). the upside is that this is definitely the last one of these kinds I take a chance on.the",acting,,,,,
For once let's see how for real a Scottish and a Russian can interact with an American crew and spit blood as brothers in arms and not play just their stupid national cameos.,acting,,,,,
"He could have played it over the top, but here he seems very fitting as he portrays an ugly villain that is quite suitable.",acting,,,,,
Clever writing and cast.,acting,,,,,
He brings remarkable complexity to his part-cowboy part-genius bomb-defuser.,acting,,,,,
Matthew Goode tries his best but ultimately his performance as Ozymandias lacks the punch it should have had.,acting,,,,,
"""Fuel to the fire,"" she adds Lily (Mila Kunis), in which Nina sees the embodiment of that very black swan.",acting,,,,,
The relationship between Joel Courtney (Watch out Bieber!) and Riley Griffiths was very authentic.,acting,,,,,
Ryan Reynolds is well cast as Hal Jordan.,acting,,,,,
"A large supporting cast is headed by Oscar nominee Jennifer Lawrence, who plays blue shapeshifter Mystique.",acting,,,,,
"Something's wrong if as a movie director, your most believable character sucks, is one-dimensional, is not endearing or believable for a nano- second, and spends half the film trapped inside a shoe-box.",acting,,,,,
Diane Krueger also delivers in a great performance with Mlanie Laurent as a strong female who has a very menacing act to follow.,acting,,,,,
Hailee Steinfirld stole the movie and she truly was 14 when the movie was filmed!,acting,,,,,
"The movie presents itself in a straightforward fashion, not necessarily a bad way to go, it all just depends on execution, and the cast succeed plenty well at that.",acting,,,,,
"Every 
 step of the way, every scene, every emotion, these two men own the 
 movie and watching their bromance is a treat from start to finish.",acting,,,,,
"Mark Wahlberg and Melissa Leo are outstanding, but the this movie is a showcase for Christiam Bale whose performance is remarkable bordering on incredible.",acting,,,,,
"There is no sense of class from Downey Jr in this role - it's as though he's remaking a Victorian version of ""Iron Man"" and it's an awful portrayal of Holmes.",acting,,,,,
The chemistry between the two leads will stick to your heart like a whole web-ball of warmth and charisma.,acting,,,,,
"This grumpy old man had to face everything went through his eyes, all over again.",acting,,,,,
Wasn't she someone not into the love scene?,acting,,,,,
"This movie to me stomps the best story lines out there, Crush's action films like ""The Matrix"".",acting,,,,,
"Hill is quiet, timid, and very smart.",acting,,,,,
"Billy was a great high school talent, 6-4 the perfect picture of a baseball player.",acting,,,,,
Sacha Baron Cohen has been over the top in this movie.,acting,,,,,
"Worthington is a suitable lead, but I see him heading to Stallone-esquire B-movies quickly if he doesn't find more interesting characters.",acting,,,,,
It even contains a cameo from Chaleston Heston!,acting,,,,,
I think the cast did the best that they could with the corny lines and terrible writing.Ryan,acting,,,,,
"But he is not one of those bookworm geniuses caught reading in the library or wearing a lab coat, rather he is a man of intellect who relies on his intuition with all disregard for the law, or any obstacle, for that matter.",acting,,,,,
I want to talk about the unsung hero of the Marvel universe: Stan Lee. Lee has a cameo appearance in every Marvel action movie.,acting,,,,,
"The writing was great, and there were some scenes that were Hilario's.",acting,,,,,
"Last but not least the ""Rockstar"" brought to you by AC/DC Tony Stark the witty multi-billionaire playboy is the parallel equivalent to Bruce Wayne.",acting,,,,,
"First of all, it is indeed David Yates' 'Best'.",acting,,,,,
"We really needed a Chris Nolan, JJ Abrams, or Peter Jackson on this one.",acting,,,,,
"Only Chekov and Sulu didn't really impress me (I never liked Sulu anyway), but they only played a minor part in the movie.The",acting,,,,,
"He plays a pretty heartless character, although we don't know a lot about his background, you can see the pain and torment and i think he does really well putting this across, he plays it well.",acting,,,,,
"John Cho's Sulu is the only true weak link of the updated cast, but that is mainly due to his character being given little to do other than get in a sword fight and screw up a warp jump.",acting,,,,,
"Truth is, I've seen better versions of those.Most of the actors here are competent in their roles.",acting,,,,,
A handful of ninja sword fights between Snake Eyes and Storm Shadow are all very impressive.,acting,,,,,
Matt Damon is equal to Glen Campbell's performance in the original but everyone else falls short to a greater or lesser degree.,acting,,,,,
And where else could you see Eli Roth (director of gory current US cult horror flicks) pretending to be Antonio Margheriti (director of gory sixties Italian cult horror flicks).,acting,,,,,
"Chris Hemsworth at least looked like he tried to get into the role, but none can blame him for failing with her as a partner.",acting,,,,,
"Thank Heavens!With enough screen time on hand, Yates was able to bring back Hermione and Ron into center stage, as what Rowling intended to in the first place.",acting,,,,,
I thought Taylor Kitsch and Lynne Collins (as the lovely Princess Dejah Thoris of the city of Helium) were both solid in their roles.,acting,,,,,
He's not always dead serious and acts just like you would expect a god to act.,acting,,,,,
"Liam Neeson was excellent here, you really into his characters head, but although it is clear he's the star, but he never hogs the attention for himself, he lets all the characters shine also.",acting,,,,,
"With an eye for action sequences and a feel for lapses in dialogue, Mr. Bird's first live action outing is quite impressive.",acting,,,,,
"That was a shame, because Sparrow was amazing in the previous movies, especially the way he moved and twitched about constantly.Mermaids?",acting,,,,,
"All of the conflicts in the film were summed up so quickly, the build up seemed pointless entirely.",acting,,,,,
Perhaps its the fact that Tom Hiddleston was on for hardly an eighteenth of the film.,acting,,,,,
She was the best villain I have seen in I don't know how long.,acting,,,,,
I just hope they invest a little more cash to get more A-list quality actors.,acting,,,,,
"He had the looks, the voice, and the charisma I was expecting.",acting,,,,,
"The presence of Rachel McAdams as Irene also brought a different dimension to the first movie because she was a great partner and, as Sherlock mentions in the story, she is ""the woman"" and I could not hide my disappointment when I noticed that her presence in The Game Of Shadows would not only be important, but also brief... very brief.Instead of Rachel McAdams, now there is Noomi Rapace performing gypsy Simza Heron, a character that appears and disappears and no one even notice that during the movie.",acting,,,,,
"She did a fantastic job as Lisbeth Salander, her Oscar nod and stardom is totally worth it.",acting,,,,,
Reynolds seems to be just as confused as he plays the character sometimes with a complete straight face and sometimes with a smirk irony as if he knew that the whole thing is just preposterous.,acting,,,,,
"The movie spent much time developing the main character, Sgt.",acting,,,,,
"Whether or not Weta can work their magic on a human character remains to be seen, but the potential is definitely there, and it's exciting.",acting,,,,,
"This movie deserves just a 4 out of 10 from me, but I give it a 5, for Woody Harrelson and a brief apparition from Arnold (""I believe ze worst ist now overr!"" ).",acting,,,,,
Gary Goldman's acting is rather similar to a manikin; his expressionless stares are an example of how poor so many actors are nowadays.,acting,,,,,
"Downey as Sherlock Holmes, another drug addicted, crazed, brilliant and erratic creature, is a perfect fit.",acting,,,,,
It's very hard to deliver such a performance with just a couple of lines.,acting,,,,,
"Scott implemented the same typical design as he did in the alien series.Overall, the acting was alright, not great, alright.",acting,,,,,
He delivers a genuine performance as opposed to just seeming to be a collection of cute tricks.,acting,,,,,
The camera work and direction appear to be ..... Actually I'm going to stop there.Im giving this 2 stars - I'd like to give it more because Waltz really was inspiring as the SS officer - I'd even go as far as to say he's almost deserving of an Oscar nomination for best supporting actor if you assume Pitt is the lead.This is a bad film.,acting,,,,,
This in turn made him look weaker and weaker.,acting,,,,,
"He came across as nerdy like the Peter Parker everyone loves, but less dweeby than Tobey was in his movies (sorry Tobey, still love ya bro).",acting,,,,,
Ditto for the flawless Katie and Micah.Put this movie at the top of your Halloween list.,acting,,,,,
"Please....Tho' there are some fairly well developed characters with acute acting, the script is full of flaws...whats the possibility of a french dairy granger verbalising English in 41?",acting,,,,,
"You have your typical hapless young hero/narrator who was a desperate virgin indulging in his own delusion of grandeur...who through a series of events evolves into someone with a backbone worth of being called ""kick-ass"" the name of his alter-ego.",acting,,,,,
"Although he is one of the more sensitive humans around, he still suffers from arrogance and selfishness.",acting,,,,,
She adds humor and a sense of the absurdity of Capitol life.,acting,,,,,
"Milk, Howl (dreadful film, great performance) and Pineapple Express are all splendid and he was very much the right person for the job here.",acting,,,,,
"Also, Scott Glenn was awesome in his David Carradine-like role of the Wise Man.",acting,,,,,
The outstanding cast work so well together.,acting,,,,,
"In fact he still remains in my ""why is he famous"" category.",acting,,,,,
Thor only seemed 'interested' just before the kiss...was all the polite talk just Asgardian flirting?,acting,,,,,
I felt that this year was lacking a good comedy and this movie really delivered.,acting,,,,,
"Yet, we get a few extremely enjoyable moments - some funny, some sweet - every now and then.As for the acting, well, we're only sorry to see so little of Alan Rickman, Helena Bonham Carter, and company.",acting,,,,,
"Instead of a great film, they were looking to get the most bucks from fans of Kristen Stewart (Razzie for Worst Actress) and Chris Hemsworth (darling of People's Choice, MTV, and Teen Choice awards).Oscar",acting,,,,,
Brilliant acting paired with an unique idea really created this film.,acting,,,,,
"Often, the physical form of acting is overlooked and that's where Kendrick truly hangs with her co-stars.",acting,,,,,
"Angelina Jolie is an actress who have done very different kind of roles under the years but i most say that my favorite roll with her must be in Bone Collector (1999) there she did a very good preferment (the same director did this film Philip Noyce) But under this years she have done different kind of performance, some good, others more closer outstanding like her performance in Changling and she have also do some crappy performance like in Wanted, but in Salt she did good.Evelyn",acting,,,,,
"First of all, why does Daniel Craig keep his British accent while everyone else in the movie does a Swedish accent?",acting,,,,,
The Hangover is perhaps the funniest movie I've ever seen.,acting,,,,,
very versatile and he definitely puts in 110%.,acting,,,,,
"As a huge fan of the graphic novel, I have to say that Zack Snyder has done about as good a job with this movie adaptation as was humanly possible.",acting,,,,,
"While certain scenes seem redundant, some unconvincing, there are those that are downright ridiculous.",acting,,,,,
And that's why I especially liked this Proyas work.,acting,,,,,
Well it's a disaster movie and you don't expect these to be actually good.,acting,,,,,
"However, great ideas don't always guarantee a solid execution.",acting,,,,,
I believe he succeeded.,acting,,,,,
Poor effort all round.,acting,,,,,
"Getting a good balance of all personalities with wholesome and righteous from Captain America, sarcastic and nonchalant from Iron Man, zen and rage from Bruce Banner.",acting,,,,,
#NAME?,acting,,,,,
"And Chris Nolan, Martin Scorsese (the scandal of the year) and Clint Eastwood (this admits more discussion) aren't nomin",acting,,,,,
"Director Darren Aronofsky (The Wrestler, Requiem for a Dream) has done some offbeat films but has always elicited strong performances from his leads.",acting,,,,,
You surprisingly don't wish he were a young Woody instead as he injects lots of wide-eyed ingenuousness along with just the right dash of the director's classic nebbish.Wilson,acting,,,,,
"With only three apparent possible editing or directorial alternatives (the selection of the female lead and the biting of the mouth timing, the shot selection for the perceptual view of the rehearsing (unlike Chorus Line), and the murder scene that didn't seem to quite have the clarity of character persona transformation and credibility), this amazing personal almost mature David Lynch-like presentation makes Blawk Swan a voyage of discovery and layered emotional and psychological density the most absorbing, powerful movie of the year.",acting,,,,,
My only complaint about this sequel is that Mycroft Holmes' character was dismissed as utter garbage.Hans,acting,,,,,
The directing had a lot to do with it as well because Kenneth Branagh is a serious and dedicated director; he has proved it time after time with his adaptations of Shakespearean plays.,acting,,,,,
Both played their part adequately.,acting,,,,,
"Considering the first description of his typical character, I'd say his performance here was absolutely grand.",acting,,,,,
"Roles like his in ""Boogie Nights"" and ""I Heart Huckabees"" make a case for an actor that should lay off the heavy drama every so often and recoil with something silly.",acting,,,,,
I am not a fan of Michael Cera.,acting,,,,,
